cocktail_id,cocktail_name,num_ingredients,ingredients,alcoholic,acidic,caffiene,category,glass,price
15266,Avalon,5,"Vodka, Pisang Ambon, Apple juice, Lemon juice, Lemonade",True,False,False,Ordinary Drink,Highball glass,13.66
11786,Mississippi Planters Punch,6,"Brandy, Light rum, Bourbon, Lemon, Powdered sugar, Carbonated water",True,True,False,Ordinary Drink,Collins glass,13.52
12770,Iced Coffee,4,"Coffee, Sugar, Water, Milk",False,False,True,Coffee / Tea,Coffee mug,9.2
11008,Manhattan,6,"Sweet Vermouth, Bourbon, Angostura bitters, Ice, Maraschino cherry, Orange peel",True,False,False,Cocktail,Cocktail glass,14.28
13162,Afternoon,5,"Kahlua, Baileys irish cream, Frangelico, Coffee, Cream",True,False,True,Coffee / Tea,Collins Glass,19.88
13501,ABC,3,"Amaretto, Baileys irish cream, Cognac",True,False,False,Shot,Shot glass,14.15
178353,Apple Highball,4,"Lime, Apple Schnapps, Cognac, Ginger",True,True,False,Cocktail,Highball glass,12.22
17839,Affair,4,"Strawberry schnapps, Orange juice, Cranberry juice, Club soda",True,False,False,Ordinary Drink,Highball glass,11.55
13194,Damned if you do,2,"Whiskey, Hot Damn",True,False,False,Shot,Shot glass,11.52
14564,A Splash of Nash,4,"Cranberry juice, Soda water, Midori melon liqueur, Creme de Banane",True,False,False,Shot,Highball glass,12.18
